Energy (keV),Field (T),Temperature (K),Rate (1/s)
3.0000000000e-02,2.5000000000e-03,0.0000000000e+00,2.0000000000e+01
3.0000000000e-02,2.5000000000e-03,1.6666666667e+00,2.0000000000e+01
3.0000000000e-02,2.5000000000e-03,3.3333333333e+00,2.0000000000e+01
3.0000000000e-02,2.5000000000e-03,5.0000000000e+00,2.0000000000e+01
3.0000000000e-02,2.5000000000e-03,6.6666666667e+00,2.0000000000e+01
3.0000000000e-02,2.5000000000e-03,8.3333333333e+00,2.0000000000e+01
3.0000000000e-02,2.5000000000e-03,1.0000000000e+01,2.0000000000e+01
3.0000000000e-02,2.5000000000e-03,1.1666666667e+01,2.0000000000e+01
3.0000000000e-02,2.5000000000e-03,1.3333333333e+01,2.0000000000e+01
3.0000000000e-02,2.5000000000e-03,1.5000000000e+01,2.0000000000e+01
3.0000000000e-02,5.0000000000e-03,0.0000000000e+00,2.0000000000e+01
3.0000000000e-02,5.0000000000e-03,1.6666666667e+00,2.0000000000e+01
3.0000000000e-02,5.0000000000e-03,3.3333333333e+00,2.0000000000e+01
3.0000000000e-02,5.0000000000e-03,5.0000000000e+00,2.0000000000e+01
3.0000000000e-02,5.0000000000e-03,6.6666666667e+00,2.0000000000e+01
3.0000000000e-02,5.0000000000e-03,8.3333333333e+00,2.0000000000e+01
3.0000000000e-02,5.0000000000e-03,1.0000000000e+01,2.0000000000e+01
3.0000000000e-02,5.0000000000e-03,1.1666666667e+01,2.0000000000e+01
3.0000000000e-02,5.0000000000e-03,1.3333333333e+01,2.0000000000e+01
3.0000000000e-02,5.0000000000e-03,1.5000000000e+01,2.0000000000e+01
3.0000000000e-02,7.5000000000e-03,0.0000000000e+00,2.0000000000e+01
3.0000000000e-02,7.5000000000e-03,1.6666666667e+00,2.0000000000e+01
3.0000000000e-02,7.5000000000e-03,3.3333333333e+00,2.0000000000e+01
3.0000000000e-02,7.5000000000e-03,5.0000000000e+00,2.0000000000e+01
3.0000000000e-02,7.5000000000e-03,6.6666666667e+00,2.0000000000e+01
3.0000000000e-02,7.5000000000e-03,8.3333333333e+00,2.0000000000e+01
3.0000000000e-02,7.5000000000e-03,1.0000000000e+01,2.0000000000e+01
3.0000000000e-02,7.5000000000e-03,1.1666666667e+01,2.0000000000e+01
3.0000000000e-02,7.5000000000e-03,1.3333333333e+01,2.0000000000e+01
