Temperature (K),Field (T),Energy (keV),Rate (1/s)
11.8551,0.0200143,0.03,19.0496
11.8551,0.0200143,0.135377,19.0496
11.8551,0.0200143,0.240754,19.0281
11.8551,0.0200143,0.346131,18.8249
11.8551,0.0200143,0.451508,18.3805
11.8551,0.0200143,0.556884,17.8328
11.8551,0.0200143,0.662261,17.3142
11.8551,0.0200143,0.767638,16.6513
11.8551,0.0200143,0.873015,16.1833
11.8551,0.0200143,0.978392,15.7097
11.8551,0.0200143,1.08377,15.2671
11.8551,0.0200143,1.18915,14.8165
11.8551,0.0200143,1.29452,14.5307
11.8551,0.0200143,1.3999,14.3485
11.8551,0.0200143,1.50528,13.9371
11.8551,0.0200143,1.61065,13.7307
11.8551,0.0200143,1.71603,13.2799
11.8551,0.0200143,1.82141,13.2359
11.8551,0.0200143,1.92678,13.0854
11.8551,0.0200143,2.03216,12.7634
11.8551,0.0200143,2.13754,12.7118
11.8551,0.0200143,2.24291,12.4535
11.8551,0.0200143,2.34829,12.2071
11.8551,0.0200143,2.45367,12.1814
11.8551,0.0200143,2.55905,11.948
11.8551,0.0200143,2.66442,11.9375
11.8551,0.0200143,2.7698,11.7289
11.8551,0.0200143,2.87518,11.7313
11.8551,0.0200143,2.98055,11.7336
11.8551,0.0200143,3.08593,11.5302
11.8551,0.0200143,3.19131,11.5268
11.8551,0.0200143,3.29668,11.323
11.8551,0.0200143,3.40206,11.3169
11.8551,0.0200143,3.50744,11.3106
11.8551,0.0200143,3.61281,11.1096
11.8551,0.0200143,3.71819,11.1001
11.8551,0.0200143,3.82357,11.0903
11.8551,0.0200143,3.92894,11.0816
11.8551,0.0200143,4.03432,10.8896
11.8551,0.0200143,4.1397,10.8748
11.8551,0.0200143,4.24508,10.8528
11.8551,0.0200143,4.35045,10.8288
11.8551,0.0200143,4.45583,10.8082
11.8551,0.0200143,4.56121,10.7943
11.8551,0.0200143,4.66658,10.6164
11.8551,0.0200143,4.77196,10.607
11.8551,0.0200143,4.87734,10.6001
11.8551,0.0200143,4.98271,10.597
11.8551,0.0200143,5.08809,10.596
11.8551,0.0200143,5.19347,10.5934
11.8551,0.0200143,5.29884,10.4347
11.8551,0.0200143,5.40422,10.4303
11.8551,0.0200143,5.5096,10.4255
11.8551,0.0200143,5.61497,10.4208
11.8551,0.0200143,5.72035,10.4165
11.8551,0.0200143,5.82573,10.4131
11.8551,0.0200143,5.93111,10.2664
11.8551,0.0200143,6.03648,10.2659
11.8551,0.0200143,6.14186,10.2656
11.8551,0.0200143,6.24724,10.265
11.8551,0.0200143,6.35261,10.264
11.8551,0.0200143,6.45799,10.2626
11.8551,0.0200143,6.56337,10.2607
11.8551,0.0200143,6.66874,10.2584
11.8551,0.0200143,6.77412,10.1218
11.8551,0.0200143,6.8795,10.1189
11.8551,0.0200143,6.98487,10.1155
11.8551,0.0200143,7.09025,10.1109
11.8551,0.0200143,7.19563,10.1046
11.8551,0.0200143,7.30101,10.0968
11.8551,0.0200143,7.40638,10.0883
11.8551,0.0200143,7.51176,10.0793
11.8551,0.0200143,7.61714,10.0704
11.8551,0.0200143,7.72251,10.062
11.8551,0.0200143,7.82789,10.0545
11.8551,0.0200143,7.93327,10.0483
11.8551,0.0200143,8.03864,10.0438
11.8551,0.0200143,8.14402,10.04
11.8551,0.0200143,8.2494,9.92621
11.8551,0.0200143,8.35477,9.92396
11.8551,0.0200143,8.46015,9.92199
11.8551,0.0200143,8.56553,9.92025
11.8551,0.0200143,8.6709,9.91865
11.8551,0.0200143,8.77628,9.91715
11.8551,0.0200143,8.88166,9.91568
11.8551,0.0200143,8.98704,9.91417
11.8551,0.0200143,9.09241,9.91261
11.8551,0.0200143,9.19779,9.91103
11.8551,0.0200143,9.30317,9.90945
11.8551,0.0200143,9.40854,9.90786
11.8551,0.0200143,9.51392,9.90628
11.8551,0.0200143,9.6193,9.9047
11.8551,0.0200143,9.72467,9.90314
11.8551,0.0200143,9.83005,9.90158
11.8551,0.0200143,9.93543,9.80449
11.8551,0.0200143,10.0408,9.80321
11.8551,0.0200143,10.1462,9.80157
11.8551,0.0200143,10.2516,9.79959
11.8551,0.0200143,10.3569,9.7974
11.8551,0.0200143,10.4623,9.79512
11.8551,0.0200143,10.5677,9.79288
11.8551,0.0200143,10.6731,9.79079
11.8551,0.0200143,10.7784,9.78897
11.8551,0.0200143,10.8838,9.78754
11.8551,0.0200143,10.9892,9.78661
11.8551,0.0200143,11.0946,9.78604
11.8551,0.0200143,11.1999,9.78547
11.8551,0.0200143,11.3053,9.78491
11.8551,0.0200143,11.4107,9.78435
11.8551,0.0200143,11.5161,9.78379
11.8551,0.0200143,11.6215,9.78322
11.8551,0.0200143,11.7268,9.78264
11.8551,0.0200143,11.8322,9.78204
11.8551,0.0200143,11.9376,9.78144
11.8551,0.0200143,12.043,9.78079
11.8551,0.0200143,12.1483,9.69944
11.8551,0.0200143,12.2537,9.69855
11.8551,0.0200143,12.3591,9.69749
11.8551,0.0200143,12.4645,9.69632
11.8551,0.0200143,12.5698,9.69506
11.8551,0.0200143,12.6752,9.69376
11.8551,0.0200143,12.7806,9.69246
11.8551,0.0200143,12.886,9.69119
11.8551,0.0200143,12.9914,9.69
11.8551,0.0200143,13.0967,9.68881
11.8551,0.0200143,13.2021,9.68752
11.8551,0.0200143,13.3075,9.68616
11.8551,0.0200143,13.4129,9.68474
11.8551,0.0200143,13.5182,9.6833
11.8551,0.0200143,13.6236,9.68185
11.8551,0.0200143,13.729,9.68042
11.8551,0.0200143,13.8344,9.67902
11.8551,0.0200143,13.9397,9.67768
11.8551,0.0200143,14.0451,9.67639
11.8551,0.0200143,14.1505,9.6749
11.8551,0.0200143,14.2559,9.67323
11.8551,0.0200143,14.3613,9.67147
11.8551,0.0200143,14.4666,9.66971
11.8551,0.0200143,14.572,9.66802
11.8551,0.0200143,14.6774,9.6665
11.8551,0.0200143,14.7828,9.66521
11.8551,0.0200143,14.8881,9.66423
11.8551,0.0200143,14.9935,9.66364
11.8551,0.0200143,15.0989,9.66333
11.8551,0.0200143,15.2043,9.66308
11.8551,0.0200143,15.3096,9.60156
11.8551,0.0200143,15.415,9.60142
11.8551,0.0200143,15.5204,9.60129
11.8551,0.0200143,15.6258,9.60115
11.8551,0.0200143,15.7312,9.60099
11.8551,0.0200143,15.8365,9.6008
11.8551,0.0200143,15.9419,9.60058
11.8551,0.0200143,16.0473,9.60028
