Temperature (K),Field (T),Energy (keV),Rate (1/s)
11.8551,0.0200143,0.03,24.9694
11.8551,0.0200143,0.135377,24.9433
11.8551,0.0200143,0.240754,24.2087
11.8551,0.0200143,0.346131,22.8558
11.8551,0.0200143,0.451508,21.3771
11.8551,0.0200143,0.556884,20.0607
11.8551,0.0200143,0.662261,19.0225
11.8551,0.0200143,0.767638,17.9955
11.8551,0.0200143,0.873015,17.1974
11.8551,0.0200143,0.978392,16.4785
11.8551,0.0200143,1.08377,15.837
11.8551,0.0200143,1.18915,15.3577
11.8551,0.0200143,1.29452,14.9563
11.8551,0.0200143,1.3999,14.5354
11.8551,0.0200143,1.50528,14.1475
11.8551,0.0200143,1.61065,13.7911
11.8551,0.0200143,1.71603,13.5034
11.8551,0.0200143,1.82141,13.3012
11.8551,0.0200143,1.92678,13.0434
11.8551,0.0200143,2.03216,12.8303
11.8551,0.0200143,2.13754,12.6478
11.8551,0.0200143,2.24291,12.4743
11.8551,0.0200143,2.34829,12.312
11.8551,0.0200143,2.45367,12.1611
11.8551,0.0200143,2.55905,12.0248
11.8551,0.0200143,2.66442,11.9054
11.8551,0.0200143,2.7698,11.8012
11.8551,0.0200143,2.87518,11.7074
11.8551,0.0200143,2.98055,11.6197
11.8551,0.0200143,3.08593,11.5345
11.8551,0.0200143,3.19131,11.4508
11.8551,0.0200143,3.29668,11.3705
11.8551,0.0200143,3.40206,11.2932
11.8551,0.0200143,3.50744,11.2212
11.8551,0.0200143,3.61281,11.1491
11.8551,0.0200143,3.71819,11.0771
11.8551,0.0200143,3.82357,11.011
11.8551,0.0200143,3.92894,10.9548
11.8551,0.0200143,4.03432,10.9098
11.8551,0.0200143,4.1397,10.8647
11.8551,0.0200143,4.24508,10.8178
11.8551,0.0200143,4.35045,10.7718
11.8551,0.0200143,4.45583,10.7289
11.8551,0.0200143,4.56121,10.6911
11.8551,0.0200143,4.66658,10.6549
11.8551,0.0200143,4.77196,10.6209
11.8551,0.0200143,4.87734,10.5892
11.8551,0.0200143,4.98271,10.561
11.8551,0.0200143,5.08809,10.5342
11.8551,0.0200143,5.19347,10.5053
11.8551,0.0200143,5.29884,10.4752
11.8551,0.0200143,5.40422,10.4446
11.8551,0.0200143,5.5096,10.4142
11.8551,0.0200143,5.61497,10.3851
11.8551,0.0200143,5.72035,10.3578
11.8551,0.0200143,5.82573,10.3328
11.8551,0.0200143,5.93111,10.3106
11.8551,0.0200143,6.03648,10.2918
11.8551,0.0200143,6.14186,10.274
11.8551,0.0200143,6.24724,10.2566
11.8551,0.0200143,6.35261,10.2399
11.8551,0.0200143,6.45799,10.2235
11.8551,0.0200143,6.56337,10.2077
