Temperature (K),Field (T),Energy (keV),Rate (1/s)
3.5077,0.0200143,0.03,19.0496
3.5077,0.0200143,0.135377,19.0496
3.5077,0.0200143,0.240754,19.0189
3.5077,0.0200143,0.346131,18.7293
3.5077,0.0200143,0.451508,18.098
3.5077,0.0200143,0.556884,17.3236
3.5077,0.0200143,0.662261,16.5936
3.5077,0.0200143,0.767638,15.6619
3.5077,0.0200143,0.873015,15.0106
3.5077,0.0200143,0.978392,14.3557
3.5077,0.0200143,1.08377,13.7484
3.5077,0.0200143,1.18915,13.127
3.5077,0.0200143,1.29452,12.7416
3.5077,0.0200143,1.3999,12.5102
3.5077,0.0200143,1.50528,11.9537
3.5077,0.0200143,1.61065,11.6938
3.5077,0.0200143,1.71603,11.0817
3.5077,0.0200143,1.82141,11.0444
3.5077,0.0200143,1.92678,10.8645
3.5077,0.0200143,2.03216,10.4363
3.5077,0.0200143,2.13754,10.3941
3.5077,0.0200143,2.24291,10.0582
3.5077,0.0200143,2.34829,9.74062
3.5077,0.0200143,2.45367,9.74076
3.5077,0.0200143,2.55905,9.44402
3.5077,0.0200143,2.66442,9.46821
3.5077,0.0200143,2.7698,9.20904
3.5077,0.0200143,2.87518,9.25208
3.5077,0.0200143,2.98055,9.29355
3.5077,0.0200143,3.08593,9.03939
3.5077,0.0200143,3.19131,9.07209
3.5077,0.0200143,3.29668,8.81834
3.5077,0.0200143,3.40206,8.84866
3.5077,0.0200143,3.50744,8.87934
3.5077,0.0200143,3.61281,8.6339
3.5077,0.0200143,3.71819,8.6657
3.5077,0.0200143,3.82357,8.6968
3.5077,0.0200143,3.92894,8.7264
3.5077,0.0200143,4.03432,8.48823
3.5077,0.0200143,4.1397,8.50624
3.5077,0.0200143,4.24508,8.51809
3.5077,0.0200143,4.35045,8.52965
3.5077,0.0200143,4.45583,8.54627
3.5077,0.0200143,4.56121,8.57121
3.5077,0.0200143,4.66658,8.36369
3.5077,0.0200143,4.77196,8.39876
3.5077,0.0200143,4.87734,8.4364
3.5077,0.0200143,4.98271,8.47559
3.5077,0.0200143,5.08809,8.5156
3.5077,0.0200143,5.19347,8.55675
3.5077,0.0200143,5.29884,8.37764
3.5077,0.0200143,5.40422,8.42194
3.5077,0.0200143,5.5096,8.46744
3.5077,0.0200143,5.61497,8.51395
3.5077,0.0200143,5.72035,8.56122
3.5077,0.0200143,5.82573,8.60895
3.5077,0.0200143,5.93111,8.44965
3.5077,0.0200143,6.03648,8.49747
3.5077,0.0200143,6.14186,8.54659
3.5077,0.0200143,6.24724,8.59728
3.5077,0.0200143,6.35261,8.64915
3.5077,0.0200143,6.45799,8.70179
3.5077,0.0200143,6.56337,8.75476
3.5077,0.0200143,6.66874,8.80759
3.5077,0.0200143,6.77412,8.66814
3.5077,0.0200143,6.8795,8.72005
3.5077,0.0200143,6.98487,8.77024
3.5077,0.0200143,7.09025,8.81846
3.5077,0.0200143,7.19563,8.86541
3.5077,0.0200143,7.30101,8.91172
3.5077,0.0200143,7.40638,8.95798
3.5077,0.0200143,7.51176,9.00475
3.5077,0.0200143,7.61714,9.05252
3.5077,0.0200143,7.72251,9.10174
3.5077,0.0200143,7.82789,9.15282
3.5077,0.0200143,7.93327,9.20611
3.5077,0.0200143,8.03864,9.26192
3.5077,0.0200143,8.14402,9.32043
3.5077,0.0200143,8.2494,9.22293
3.5077,0.0200143,8.35477,9.28669
3.5077,0.0200143,8.46015,9.35189
3.5077,0.0200143,8.56553,9.41808
3.5077,0.0200143,8.6709,9.48472
3.5077,0.0200143,8.77628,9.55128
3.5077,0.0200143,8.88166,9.61716
3.5077,0.0200143,8.98704,9.68174
3.5077,0.0200143,9.09241,9.74548
3.5077,0.0200143,9.19779,9.80986
3.5077,0.0200143,9.30317,9.87487
3.5077,0.0200143,9.40854,9.94049
3.5077,0.0200143,9.51392,10.0067
3.5077,0.0200143,9.6193,10.0735
3.5077,0.0200143,9.72467,10.1408
3.5077,0.0200143,9.83005,10.2086
3.5077,0.0200143,9.93543,10.1401
3.5077,0.0200143,10.0408,10.2094
3.5077,0.0200143,10.1462,10.2799
3.5077,0.0200143,10.2516,10.3517
3.5077,0.0200143,10.3569,10.4246
3.5077,0.0200143,10.4623,10.4985
3.5077,0.0200143,10.5677,10.5731
3.5077,0.0200143,10.6731,10.6484
3.5077,0.0200143,10.7784,10.724
3.5077,0.0200143,10.8838,10.7997
3.5077,0.0200143,10.9892,10.8752
3.5077,0.0200143,11.0946,10.9514
3.5077,0.0200143,11.1999,11.0296
3.5077,0.0200143,11.3053,11.1096
3.5077,0.0200143,11.4107,11.1912
3.5077,0.0200143,11.5161,11.2743
3.5077,0.0200143,11.6215,11.3585
3.5077,0.0200143,11.7268,11.4436
3.5077,0.0200143,11.8322,11.5293
3.5077,0.0200143,11.9376,11.6152
3.5077,0.0200143,12.043,11.7013
3.5077,0.0200143,12.1483,11.6745
3.5077,0.0200143,12.2537,11.7661
3.5077,0.0200143,12.3591,11.8598
3.5077,0.0200143,12.4645,11.9554
3.5077,0.0200143,12.5698,12.0523
3.5077,0.0200143,12.6752,12.1499
3.5077,0.0200143,12.7806,12.2479
3.5077,0.0200143,12.886,12.3455
3.5077,0.0200143,12.9914,12.4422
3.5077,0.0200143,13.0967,12.5389
3.5077,0.0200143,13.2021,12.6375
3.5077,0.0200143,13.3075,12.7378
3.5077,0.0200143,13.4129,12.8394
3.5077,0.0200143,13.5182,12.9423
3.5077,0.0200143,13.6236,13.0461
3.5077,0.0200143,13.729,13.1506
3.5077,0.0200143,13.8344,13.2552
3.5077,0.0200143,13.9397,13.3597
3.5077,0.0200143,14.0451,13.4638
3.5077,0.0200143,14.1505,13.569
3.5077,0.0200143,14.2559,13.6756
3.5077,0.0200143,14.3613,13.7834
3.5077,0.0200143,14.4666,13.8923
3.5077,0.0200143,14.572,14.0023
3.5077,0.0200143,14.6774,14.1133
3.5077,0.0200143,14.7828,14.2251
3.5077,0.0200143,14.8881,14.3375
3.5077,0.0200143,14.9935,14.4504
3.5077,0.0200143,15.0989,14.5665
3.5077,0.0200143,15.2043,14.6885
3.5077,0.0200143,15.3096,14.7272
3.5077,0.0200143,15.415,14.8568
3.5077,0.0200143,15.5204,14.988
3.5077,0.0200143,15.6258,15.119
3.5077,0.0200143,15.7312,15.2484
3.5077,0.0200143,15.8365,15.3742
3.5077,0.0200143,15.9419,15.4949
3.5077,0.0200143,16.0473,15.6106
3.5077,0.0200143,16.1527,15.7353
3.5077,0.0200143,16.258,15.8702
3.5077,0.0200143,16.3634,16.013
3.5077,0.0200143,16.4688,16.1612
3.5077,0.0200143,16.5742,16.3121
3.5077,0.0200143,16.6795,16.4625
3.5077,0.0200143,16.7849,16.6092
3.5077,0.0200143,16.8903,16.7483
3.5077,0.0200143,16.9957,16.8758
3.5077,0.0200143,17.1011,16.9991
3.5077,0.0200143,17.2064,17.1295
3.5077,0.0200143,17.3118,17.2658
3.5077,0.0200143,17.4172,17.4072
3.5077,0.0200143,17.5226,17.5526
3.5077,0.0200143,17.6279,17.7009
3.5077,0.0200143,17.7333,17.8509
3.5077,0.0200143,17.8387,18.0014
3.5077,0.0200143,17.9441,18.1511
3.5077,0.0200143,18.0494,18.2999
3.5077,0.0200143,18.1548,18.4542
3.5077,0.0200143,18.2602,18.6142
3.5077,0.0200143,18.3656,18.7784
3.5077,0.0200143,18.471,18.9449
3.5077,0.0200143,18.5763,19.1121
3.5077,0.0200143,18.6817,19.2783
3.5077,0.0200143,18.7871,19.4414
3.5077,0.0200143,18.8925,19.5996
3.5077,0.0200143,18.9978,19.7508
3.5077,0.0200143,19.1032,19.8983
3.5077,0.0200143,19.2086,20.0479
3.5077,0.0200143,19.314,20.1998
3.5077,0.0200143,19.4193,20.3543
3.5077,0.0200143,19.5247,20.5117
3.5077,0.0200143,19.6301,20.6724
3.5077,0.0200143,19.7355,20.8366
3.5077,0.0200143,19.8409,21.0047
3.5077,0.0200143,19.9462,21.1768
3.5077,0.0200143,20.0516,21.3535
3.5077,0.0200143,20.157,21.5357
3.5077,0.0200143,20.2624,21.7233
3.5077,0.0200143,20.3677,21.9161
3.5077,0.0200143,20.4731,22.1137
3.5077,0.0200143,20.5785,22.3158
3.5077,0.0200143,20.6839,22.5221
3.5077,0.0200143,20.7892,22.6698
3.5077,0.0200143,20.8946,22.8835
3.5077,0.0200143,21,23.1003
