Temperature (K),Field (T),Energy (keV),Rate (1/s)
3.5077,0.0200143,0.03,24.9694
3.5077,0.0200143,0.135377,24.9366
3.5077,0.0200143,0.240754,24.0155
3.5077,0.0200143,0.346131,22.3244
3.5077,0.0200143,0.451508,20.4833
3.5077,0.0200143,0.556884,18.8525
3.5077,0.0200143,0.662261,17.5726
3.5077,0.0200143,0.767638,16.3132
3.5077,0.0200143,0.873015,15.3408
3.5077,0.0200143,0.978392,14.4725
3.5077,0.0200143,1.08377,13.7044
3.5077,0.0200143,1.18915,13.1352
3.5077,0.0200143,1.29452,12.6632
3.5077,0.0200143,1.3999,12.1733
3.5077,0.0200143,1.50528,11.7279
3.5077,0.0200143,1.61065,11.3254
3.5077,0.0200143,1.71603,11.0057
3.5077,0.0200143,1.82141,10.7836
3.5077,0.0200143,1.92678,10.5035
3.5077,0.0200143,2.03216,10.2759
3.5077,0.0200143,2.13754,10.085
3.5077,0.0200143,2.24291,9.90767
3.5077,0.0200143,2.34829,9.74618
3.5077,0.0200143,2.45367,9.6002
3.5077,0.0200143,2.55905,9.47341
3.5077,0.0200143,2.66442,9.36911
3.5077,0.0200143,2.7698,9.28427
3.5077,0.0200143,2.87518,9.2122
3.5077,0.0200143,2.98055,9.14627
3.5077,0.0200143,3.08593,9.08204
3.5077,0.0200143,3.19131,9.02025
3.5077,0.0200143,3.29668,8.96326
3.5077,0.0200143,3.40206,8.9108
3.5077,0.0200143,3.50744,8.86575
3.5077,0.0200143,3.61281,8.82373
3.5077,0.0200143,3.71819,8.78483
3.5077,0.0200143,3.82357,8.75308
3.5077,0.0200143,3.92894,8.73012
3.5077,0.0200143,4.03432,8.71523
3.5077,0.0200143,4.1397,8.7027
3.5077,0.0200143,4.24508,8.69267
3.5077,0.0200143,4.35045,8.68653
3.5077,0.0200143,4.45583,8.68437
3.5077,0.0200143,4.56121,8.68715
3.5077,0.0200143,4.66658,8.69459
3.5077,0.0200143,4.77196,8.70583
3.5077,0.0200143,4.87734,8.71878
3.5077,0.0200143,4.98271,8.7319
3.5077,0.0200143,5.08809,8.74409
3.5077,0.0200143,5.19347,8.75758
3.5077,0.0200143,5.29884,8.773
3.5077,0.0200143,5.40422,8.79032
3.5077,0.0200143,5.5096,8.80988
3.5077,0.0200143,5.61497,8.83182
3.5077,0.0200143,5.72035,8.85615
3.5077,0.0200143,5.82573,8.88232
3.5077,0.0200143,5.93111,8.91007
3.5077,0.0200143,6.03648,8.93927
3.5077,0.0200143,6.14186,8.97078
3.5077,0.0200143,6.24724,9.00497
3.5077,0.0200143,6.35261,9.04176
3.5077,0.0200143,6.45799,9.08029
3.5077,0.0200143,6.56337,9.12042
3.5077,0.0200143,6.66874,9.1616
3.5077,0.0200143,6.77412,9.20287
3.5077,0.0200143,6.8795,9.24467
3.5077,0.0200143,6.98487,9.28528
3.5077,0.0200143,7.09025,9.32553
3.5077,0.0200143,7.19563,9.3657
3.5077,0.0200143,7.30101,9.40608
3.5077,0.0200143,7.40638,9.44786
3.5077,0.0200143,7.51176,9.49055
3.5077,0.0200143,7.61714,9.53487
3.5077,0.0200143,7.72251,9.58084
3.5077,0.0200143,7.82789,9.62874
3.5077,0.0200143,7.93327,9.67849
3.5077,0.0200143,8.03864,9.73
3.5077,0.0200143,8.14402,9.7845
3.5077,0.0200143,8.2494,9.84119
3.5077,0.0200143,8.35477,9.89988
3.5077,0.0200143,8.46015,9.95981
3.5077,0.0200143,8.56553,10.021
3.5077,0.0200143,8.6709,10.0826
3.5077,0.0200143,8.77628,10.1442
3.5077,0.0200143,8.88166,10.2049
3.5077,0.0200143,8.98704,10.2643
