Temperature (K),Field (T),Energy (keV),Rate (1/s)
0,0.0200143,19.9321,19.9964
0.0753769,0.0200143,19.9321,20.0334
0.150754,0.0200143,19.9321,20.0704
0.226131,0.0200143,19.9321,20.1073
0.301508,0.0200143,19.9321,20.1443
0.376884,0.0200143,19.9321,20.1812
0.452261,0.0200143,19.9321,20.2181
0.527638,0.0200143,19.9321,20.255
0.603015,0.0200143,19.9321,20.2917
0.678392,0.0200143,19.9321,20.3284
0.753769,0.0200143,19.9321,20.365
0.829146,0.0200143,19.9321,20.4014
0.904523,0.0200143,19.9321,20.4376
0.979899,0.0200143,19.9321,20.4736
1.05528,0.0200143,19.9321,20.5094
1.13065,0.0200143,19.9321,20.5448
1.20603,0.0200143,19.9321,20.58
1.28141,0.0200143,19.9321,20.6147
1.35678,0.0200143,19.9321,20.649
1.43216,0.0200143,19.9321,20.6829
1.50754,0.0200143,19.9321,20.7162
1.58291,0.0200143,19.9321,20.7489
1.65829,0.0200143,19.9321,20.781
1.73367,0.0200143,19.9321,20.8124
1.80905,0.0200143,19.9321,20.843
1.88442,0.0200143,19.9321,20.8727
1.9598,0.0200143,19.9321,20.9016
2.03518,0.0200143,19.9321,20.9294
2.11055,0.0200143,19.9321,20.9562
2.18593,0.0200143,19.9321,20.9819
2.26131,0.0200143,19.9321,21.0064
2.33668,0.0200143,19.9321,21.0296
2.41206,0.0200143,19.9321,21.0514
2.48744,0.0200143,19.9321,21.0717
2.56281,0.0200143,19.9321,21.0905
2.63819,0.0200143,19.9321,21.1076
2.71357,0.0200143,19.9321,21.123
2.78894,0.0200143,19.9321,21.1366
2.86432,0.0200143,19.9321,21.1482
2.9397,0.0200143,19.9321,21.1578
3.01508,0.0200143,19.9321,21.1652
3.09045,0.0200143,19.9321,21.1704
3.16583,0.0200143,19.9321,21.1733
3.24121,0.0200143,19.9321,21.1736
3.31658,0.0200143,19.9321,21.1714
3.39196,0.0200143,19.9321,21.1665
3.46734,0.0200143,19.9321,21.1588
3.54271,0.0200143,19.9321,21.1482
3.61809,0.0200143,19.9321,21.1345
3.69347,0.0200143,19.9321,21.1177
3.76884,0.0200143,19.9321,21.0976
3.84422,0.0200143,19.9321,21.074
3.9196,0.0200143,19.9321,21.047
3.99497,0.0200143,19.9321,21.0162
4.07035,0.0200143,19.9321,20.9818
4.14573,0.0200143,19.9321,20.9434
4.22111,0.0200143,19.9321,20.901
4.29648,0.0200143,19.9321,20.8544
4.37186,0.0200143,19.9321,20.8036
4.44724,0.0200143,19.9321,20.7484
4.52261,0.0200143,19.9321,20.6886
4.59799,0.0200143,19.9321,20.6243
4.67337,0.0200143,19.9321,20.5552
4.74874,0.0200143,19.9321,20.4812
4.82412,0.0200143,19.9321,20.4023
4.8995,0.0200143,19.9321,20.3183
4.97487,0.0200143,19.9321,20.229
5.05025,0.0200143,19.9321,20.1345
5.12563,0.0200143,19.9321,20.0346
5.20101,0.0200143,19.9321,19.9291
5.27638,0.0200143,19.9321,19.8181
5.35176,0.0200143,19.9321,19.7014
5.42714,0.0200143,19.9321,19.5789
5.50251,0.0200143,19.9321,19.4505
5.57789,0.0200143,19.9321,19.3162
5.65327,0.0200143,19.9321,19.1759
5.72864,0.0200143,19.9321,19.0295
5.80402,0.0200143,19.9321,18.877
5.8794,0.0200143,19.9321,18.7183
5.95477,0.0200143,19.9321,18.5534
6.03015,0.0200143,19.9321,18.3822
6.10553,0.0200143,19.9321,18.2046
6.1809,0.0200143,19.9321,18.0208
6.25628,0.0200143,19.9321,17.8306
6.33166,0.0200143,19.9321,17.634
6.40704,0.0200143,19.9321,17.431
6.48241,0.0200143,19.9321,17.2216
6.55779,0.0200143,19.9321,17.0058
6.63317,0.0200143,19.9321,16.7837
6.70854,0.0200143,19.9321,16.5552
6.78392,0.0200143,19.9321,16.3203
6.8593,0.0200143,19.9321,16.0792
6.93467,0.0200143,19.9321,15.8317
7.01005,0.0200143,19.9321,15.578
7.08543,0.0200143,19.9321,15.318
7.1608,0.0200143,19.9321,15.0517
7.23618,0.0200143,19.9321,14.7793
7.31156,0.0200143,19.9321,14.5006
7.38693,0.0200143,19.9321,14.2156
7.46231,0.0200143,19.9321,13.9243
7.53769,0.0200143,19.9321,13.6265
7.61307,0.0200143,19.9321,13.3222
7.68844,0.0200143,19.9321,13.0111
7.76382,0.0200143,19.9321,12.6929
7.8392,0.0200143,19.9321,12.367
7.91457,0.0200143,19.9321,12.0328
7.98995,0.0200143,19.9321,11.6894
8.06533,0.0200143,19.9321,11.335
8.1407,0.0200143,19.9321,10.9676
8.21608,0.0200143,19.9321,10.5834
8.29146,0.0200143,19.9321,10.176
8.36683,0.0200143,19.9321,9.73344
8.44221,0.0200143,19.9321,9.22675
8.51759,0.0200143,19.9321,8.53492
8.59296,0.0200143,19.9321,7.98074
8.66834,0.0200143,19.9321,8.01772
8.74372,0.0200143,19.9321,8.0547
8.8191,0.0200143,19.9321,8.09168
8.89447,0.0200143,19.9321,8.12866
8.96985,0.0200143,19.9321,8.16563
9.04523,0.0200143,19.9321,8.20261
9.1206,0.0200143,19.9321,8.23959
9.19598,0.0200143,19.9321,8.27657
9.27136,0.0200143,19.9321,8.31355
9.34673,0.0200143,19.9321,8.35053
9.42211,0.0200143,19.9321,8.3875
9.49749,0.0200143,19.9321,8.42448
9.57286,0.0200143,19.9321,8.46146
9.64824,0.0200143,19.9321,8.49844
9.72362,0.0200143,19.9321,8.53542
9.79899,0.0200143,19.9321,8.5724
9.87437,0.0200143,19.9321,8.60937
9.94975,0.0200143,19.9321,8.64635
10.0251,0.0200143,19.9321,8.68333
10.1005,0.0200143,19.9321,8.72031
10.1759,0.0200143,19.9321,8.75729
10.2513,0.0200143,19.9321,8.79427
10.3266,0.0200143,19.9321,8.83124
10.402,0.0200143,19.9321,8.86822
10.4774,0.0200143,19.9321,8.9052
10.5528,0.0200143,19.9321,8.94218
10.6281,0.0200143,19.9321,8.97916
10.7035,0.0200143,19.9321,9.01613
10.7789,0.0200143,19.9321,9.05311
10.8543,0.0200143,19.9321,9.09009
10.9296,0.0200143,19.9321,9.12707
11.005,0.0200143,19.9321,9.16405
11.0804,0.0200143,19.9321,9.20103
11.1558,0.0200143,19.9321,9.238
11.2312,0.0200143,19.9321,9.27498
11.3065,0.0200143,19.9321,9.31196
11.3819,0.0200143,19.9321,9.34894
11.4573,0.0200143,19.9321,9.38592
11.5327,0.0200143,19.9321,9.4229
11.608,0.0200143,19.9321,9.45987
11.6834,0.0200143,19.9321,9.49685
11.7588,0.0200143,19.9321,9.53383
11.8342,0.0200143,19.9321,9.57081
11.9095,0.0200143,19.9321,9.60779
11.9849,0.0200143,19.9321,9.64476
12.0603,0.0200143,19.9321,9.68174
12.1357,0.0200143,19.9321,9.71872
12.2111,0.0200143,19.9321,9.7557
12.2864,0.0200143,19.9321,9.79268
12.3618,0.0200143,19.9321,9.82966
12.4372,0.0200143,19.9321,9.86663
12.5126,0.0200143,19.9321,9.90361
12.5879,0.0200143,19.9321,9.94059
12.6633,0.0200143,19.9321,9.97757
12.7387,0.0200143,19.9321,10.0145
12.8141,0.0200143,19.9321,10.0515
12.8894,0.0200143,19.9321,10.0885
12.9648,0.0200143,19.9321,10.1255
13.0402,0.0200143,19.9321,10.1625
13.1156,0.0200143,19.9321,10.1994
13.191,0.0200143,19.9321,10.2364
13.2663,0.0200143,19.9321,10.2734
13.3417,0.0200143,19.9321,10.3104
13.4171,0.0200143,19.9321,10.3474
13.4925,0.0200143,19.9321,10.3843
13.5678,0.0200143,19.9321,10.4213
13.6432,0.0200143,19.9321,10.4583
13.7186,0.0200143,19.9321,10.4953
13.794,0.0200143,19.9321,10.5322
13.8693,0.0200143,19.9321,10.5692
13.9447,0.0200143,19.9321,10.6062
14.0201,0.0200143,19.9321,10.6432
14.0955,0.0200143,19.9321,10.6802
14.1709,0.0200143,19.9321,10.7171
14.2462,0.0200143,19.9321,10.7541
14.3216,0.0200143,19.9321,10.7911
14.397,0.0200143,19.9321,10.8281
14.4724,0.0200143,19.9321,10.865
14.5477,0.0200143,19.9321,10.902
14.6231,0.0200143,19.9321,10.939
14.6985,0.0200143,19.9321,10.976
14.7739,0.0200143,19.9321,11.013
14.8492,0.0200143,19.9321,11.0499
14.9246,0.0200143,19.9321,11.0869
15,0.0200143,19.9321,11.1239
