Temperature (K),Field (T),Energy (keV),Rate (1/s)
0,0.0200143,19.9321,18.7369
0.0753769,0.0200143,19.9321,18.7727
0.150754,0.0200143,19.9321,18.8086
0.226131,0.0200143,19.9321,18.8445
0.301508,0.0200143,19.9321,18.8803
0.376884,0.0200143,19.9321,18.9161
0.452261,0.0200143,19.9321,18.9519
0.527638,0.0200143,19.9321,18.9877
0.603015,0.0200143,19.9321,19.0234
0.678392,0.0200143,19.9321,19.0591
0.753769,0.0200143,19.9321,19.0947
0.829146,0.0200143,19.9321,19.1301
0.904523,0.0200143,19.9321,19.1655
0.979899,0.0200143,19.9321,19.2007
1.05528,0.0200143,19.9321,19.2357
1.13065,0.0200143,19.9321,19.2705
1.20603,0.0200143,19.9321,19.3051
1.28141,0.0200143,19.9321,19.3395
1.35678,0.0200143,19.9321,19.3735
1.43216,0.0200143,19.9321,19.4073
1.50754,0.0200143,19.9321,19.4406
1.58291,0.0200143,19.9321,19.4736
1.65829,0.0200143,19.9321,19.5061
1.73367,0.0200143,19.9321,19.5381
1.80905,0.0200143,19.9321,19.5696
1.88442,0.0200143,19.9321,19.6005
1.9598,0.0200143,19.9321,19.6307
2.03518,0.0200143,19.9321,19.6603
2.11055,0.0200143,19.9321,19.6891
2.18593,0.0200143,19.9321,19.7172
2.26131,0.0200143,19.9321,19.7444
2.33668,0.0200143,19.9321,19.7706
2.41206,0.0200143,19.9321,19.7959
2.48744,0.0200143,19.9321,19.8202
2.56281,0.0200143,19.9321,19.8434
2.63819,0.0200143,19.9321,19.8654
2.71357,0.0200143,19.9321,19.8861
2.78894,0.0200143,19.9321,19.9055
2.86432,0.0200143,19.9321,19.9236
2.9397,0.0200143,19.9321,19.9402
3.01508,0.0200143,19.9321,19.9552
3.09045,0.0200143,19.9321,19.9687
3.16583,0.0200143,19.9321,19.9804
3.24121,0.0200143,19.9321,19.9903
3.31658,0.0200143,19.9321,19.9984
3.39196,0.0200143,19.9321,20.0045
3.46734,0.0200143,19.9321,20.0086
3.54271,0.0200143,19.9321,20.0105
3.61809,0.0200143,19.9321,20.0102
3.69347,0.0200143,19.9321,20.0076
3.76884,0.0200143,19.9321,20.0025
3.84422,0.0200143,19.9321,19.9949
3.9196,0.0200143,19.9321,19.9847
3.99497,0.0200143,19.9321,19.9718
4.07035,0.0200143,19.9321,19.956
4.14573,0.0200143,19.9321,19.9373
4.22111,0.0200143,19.9321,19.9155
4.29648,0.0200143,19.9321,19.8906
4.37186,0.0200143,19.9321,19.8624
4.44724,0.0200143,19.9321,19.8308
4.52261,0.0200143,19.9321,19.7957
4.59799,0.0200143,19.9321,19.757
4.67337,0.0200143,19.9321,19.7146
4.74874,0.0200143,19.9321,19.6683
4.82412,0.0200143,19.9321,19.618
4.8995,0.0200143,19.9321,19.5636
4.97487,0.0200143,19.9321,19.5049
5.05025,0.0200143,19.9321,19.4419
5.12563,0.0200143,19.9321,19.3745
5.20101,0.0200143,19.9321,19.3024
5.27638,0.0200143,19.9321,19.2255
5.35176,0.0200143,19.9321,19.1438
5.42714,0.0200143,19.9321,19.057
5.50251,0.0200143,19.9321,18.9651
5.57789,0.0200143,19.9321,18.8679
5.65327,0.0200143,19.9321,18.7652
5.72864,0.0200143,19.9321,18.657
5.80402,0.0200143,19.9321,18.5431
5.8794,0.0200143,19.9321,18.4233
5.95477,0.0200143,19.9321,18.2975
6.03015,0.0200143,19.9321,18.1656
6.10553,0.0200143,19.9321,18.0274
6.1809,0.0200143,19.9321,17.8828
6.25628,0.0200143,19.9321,17.7316
6.33166,0.0200143,19.9321,17.5736
6.40704,0.0200143,19.9321,17.4088
6.48241,0.0200143,19.9321,17.237
6.55779,0.0200143,19.9321,17.058
6.63317,0.0200143,19.9321,16.8716
6.70854,0.0200143,19.9321,16.6778
6.78392,0.0200143,19.9321,16.4763
6.8593,0.0200143,19.9321,16.267
6.93467,0.0200143,19.9321,16.0498
7.01005,0.0200143,19.9321,15.8244
7.08543,0.0200143,19.9321,15.5907
7.1608,0.0200143,19.9321,15.3484
7.23618,0.0200143,19.9321,15.0975
7.31156,0.0200143,19.9321,14.8376
7.38693,0.0200143,19.9321,14.5685
7.46231,0.0200143,19.9321,14.29
7.53769,0.0200143,19.9321,14.0017
7.61307,0.0200143,19.9321,13.7032
7.68844,0.0200143,19.9321,13.394
7.76382,0.0200143,19.9321,13.0736
7.8392,0.0200143,19.9321,12.7412
7.91457,0.0200143,19.9321,12.3958
7.98995,0.0200143,19.9321,12.0359
8.06533,0.0200143,19.9321,11.6597
8.1407,0.0200143,19.9321,11.2641
8.21608,0.0200143,19.9321,10.8443
8.29146,0.0200143,19.9321,10.3923
8.36683,0.0200143,19.9321,9.89152
8.44221,0.0200143,19.9321,9.30029
8.51759,0.0200143,19.9321,8.36413
8.59296,0.0200143,19.9321,8.04909
8.66834,0.0200143,19.9321,8.08495
8.74372,0.0200143,19.9321,8.12081
8.8191,0.0200143,19.9321,8.15668
8.89447,0.0200143,19.9321,8.19254
8.96985,0.0200143,19.9321,8.22841
9.04523,0.0200143,19.9321,8.26427
9.1206,0.0200143,19.9321,8.30013
9.19598,0.0200143,19.9321,8.336
9.27136,0.0200143,19.9321,8.37186
9.34673,0.0200143,19.9321,8.40772
9.42211,0.0200143,19.9321,8.44359
9.49749,0.0200143,19.9321,8.47945
9.57286,0.0200143,19.9321,8.51531
9.64824,0.0200143,19.9321,8.55118
9.72362,0.0200143,19.9321,8.58704
9.79899,0.0200143,19.9321,8.6229
9.87437,0.0200143,19.9321,8.65877
9.94975,0.0200143,19.9321,8.69463
10.0251,0.0200143,19.9321,8.73049
10.1005,0.0200143,19.9321,8.76636
10.1759,0.0200143,19.9321,8.80222
10.2513,0.0200143,19.9321,8.83808
10.3266,0.0200143,19.9321,8.87395
10.402,0.0200143,19.9321,8.90981
10.4774,0.0200143,19.9321,8.94567
10.5528,0.0200143,19.9321,8.98154
10.6281,0.0200143,19.9321,9.0174
10.7035,0.0200143,19.9321,9.05326
10.7789,0.0200143,19.9321,9.08913
10.8543,0.0200143,19.9321,9.12499
10.9296,0.0200143,19.9321,9.16085
11.005,0.0200143,19.9321,9.19672
11.0804,0.0200143,19.9321,9.23258
11.1558,0.0200143,19.9321,9.26844
11.2312,0.0200143,19.9321,9.30431
11.3065,0.0200143,19.9321,9.34017
11.3819,0.0200143,19.9321,9.37604
11.4573,0.0200143,19.9321,9.4119
11.5327,0.0200143,19.9321,9.44776
11.608,0.0200143,19.9321,9.48363
11.6834,0.0200143,19.9321,9.51949
11.7588,0.0200143,19.9321,9.55535
11.8342,0.0200143,19.9321,9.59122
11.9095,0.0200143,19.9321,9.62708
11.9849,0.0200143,19.9321,9.66294
12.0603,0.0200143,19.9321,9.69881
12.1357,0.0200143,19.9321,9.73467
12.2111,0.0200143,19.9321,9.77053
12.2864,0.0200143,19.9321,9.8064
12.3618,0.0200143,19.9321,9.84226
12.4372,0.0200143,19.9321,9.87812
12.5126,0.0200143,19.9321,9.91399
12.5879,0.0200143,19.9321,9.94985
12.6633,0.0200143,19.9321,9.98571
12.7387,0.0200143,19.9321,10.0216
12.8141,0.0200143,19.9321,10.0574
12.8894,0.0200143,19.9321,10.0933
12.9648,0.0200143,19.9321,10.1292
13.0402,0.0200143,19.9321,10.165
13.1156,0.0200143,19.9321,10.2009
13.191,0.0200143,19.9321,10.2368
13.2663,0.0200143,19.9321,10.2726
13.3417,0.0200143,19.9321,10.3085
13.4171,0.0200143,19.9321,10.3443
13.4925,0.0200143,19.9321,10.3802
13.5678,0.0200143,19.9321,10.4161
13.6432,0.0200143,19.9321,10.4519
13.7186,0.0200143,19.9321,10.4878
13.794,0.0200143,19.9321,10.5237
13.8693,0.0200143,19.9321,10.5595
13.9447,0.0200143,19.9321,10.5954
14.0201,0.0200143,19.9321,10.6313
14.0955,0.0200143,19.9321,10.6671
14.1709,0.0200143,19.9321,10.703
14.2462,0.0200143,19.9321,10.7388
14.3216,0.0200143,19.9321,10.7747
14.397,0.0200143,19.9321,10.8106
14.4724,0.0200143,19.9321,10.8464
14.5477,0.0200143,19.9321,10.8823
14.6231,0.0200143,19.9321,10.9182
14.6985,0.0200143,19.9321,10.954
14.7739,0.0200143,19.9321,10.9899
14.8492,0.0200143,19.9321,11.0258
14.9246,0.0200143,19.9321,11.0616
15,0.0200143,19.9321,11.0975
