#Year	RunNumber	Temperature(K)	TemperatureError(K)	Field(T)	FieldError(T)	Energy(keV)	EnergyError(keV)	Rate(1/s)	RateError(1/s)	Exponent(-)	ExponentError(-)	AvgRate(1/s)	AvgRateError(1/s)
2013	45515	3.5345680000	0.0157524309	0.0200143508	0.0000175000	19.9318658369	0.0008436186	22.1215987211	0.6560324956	0.4865590443	0.0080168729	10.5047324318	0.1431813699
2013	45516	3.5126281513	0.0017836584	0.0200143508	0.0000175000	17.9335843887	0.0008995981	17.6468193528	0.3988926552	0.5339216879	0.0060292822	9.8889774231	0.1260335817
2013	45517	3.5101698630	0.0019410746	0.0200143938	0.0000176360	15.9333356323	0.0004364864	17.0275801073	0.3820805281	0.5188631901	0.0050775853	9.0950345008	0.0957126554
2013	45518	3.5082708934	0.0015733841	0.0200143804	0.0000176147	13.9334844801	0.0007586867	15.1551752658	0.3841780076	0.5386638989	0.0085321892	8.6151085476	0.1067043203
2013	45519	3.5068699187	0.0015568642	0.0200143726	0.0000176002	11.9344179778	0.0002986332	12.5784985102	0.2953393615	0.5840642159	0.0090034209	8.0644223775	0.0977997175
2013	45520	3.5059856734	0.0016634409	0.0200143508	0.0000175000	9.9334621879	0.0007409385	11.1955156672	0.2244535963	0.6017073459	0.0065346207	7.4685027504	0.0761918814
2013	45521	3.5051711027	0.0014584583	0.0200143707	0.0000175958	7.9336327923	0.0006480201	9.8028190355	0.2061998024	0.6477310255	0.0106461912	7.1469454189	0.0796129148
2013	45522	3.5044705882	0.0014641295	0.0200143661	0.0000175838	5.9337684708	0.0003555896	8.8226701908	0.1614229439	0.6720780040	0.0065129636	6.6932410673	0.0641016495
2013	45523	3.5041026393	0.0016064279	0.0200144273	0.0000176741	3.9339340632	0.0007422092	8.8574737980	0.1738019484	0.6587805188	0.0092777509	6.5789414185	0.0686365146
2013	45524	3.5037857143	0.0016082094	0.0200144242	0.0000176718	1.9335130606	0.0003987456	10.3196281649	0.2022170687	0.6810851151	0.0099023629	7.9362820268	0.0867132350
2013	45525	3.5032547771	0.0014538896	0.0200144358	0.0000176818	0.9330163910	0.0005332960	14.3159548471	0.3465534941	0.4906092092	0.0055889488	6.9075382561	0.0785657086
2013	45526	3.5018433735	0.0014726668	0.0200143666	0.0000175853	2.4326331116	0.0007786774	9.6995559922	0.1903798892	0.6765775658	0.0099484954	7.4092469900	0.0764397628
2013	45527	3.5018531250	0.0014275578	0.0200143836	0.0000176204	1.4333968887	0.0004992639	11.9350307744	0.2416802357	0.5950513010	0.0065310353	7.8466580457	0.0827796741
2013	45529	3.5052097701	0.0017672059	0.0200144990	0.0000178432	19.9302949214	0.0009392316	19.2221595652	0.4593308714	0.5068696894	0.0059932106	9.8530817394	0.1202862863
