Energy (keV),Alpha,Alpha Error,Beta,Beta Error,Max (nm),Max Error (nm)
2.50000000000000e-02,2.02724565908511e+00,1.77648272186768e-02,5.30018867946493e+00,1.43723425842022e-01,2.74345243756947e+00,4.08537970089302e-02
5.00000000000000e-02,2.03674057924885e+00,1.76421786322645e-02,5.48022179249891e+00,1.54822773789268e-01,3.96635709020833e+00,6.27030980890959e-02
7.50000000000000e-02,2.06273019060707e+00,1.73737403415530e-02,5.68654563258801e+00,1.62340983957775e-01,5.03030908976585e+00,8.13330561073551e-02
1.00000000000000e-01,2.06576674889428e+00,1.69764194502620e-02,5.84322560256291e+00,1.66627711183808e-01,5.94709810634681e+00,9.79471445417159e-02
1.25000000000000e-01,2.08708460751221e+00,1.72297782236654e-02,5.86180879226603e+00,1.67627968800006e-01,6.71815365002429e+00,1.10138165826856e-01
2.50000000000000e-01,2.04380113729566e+00,1.65152326616183e-02,5.80410914614616e+00,1.60765150429348e-01,1.00469505836928e+01,1.60663193618057e-01
3.75000000000000e-01,2.02750546812947e+00,1.58856314885367e-02,5.52736626360809e+00,1.44804149674880e-01,1.24901956401183e+01,1.85314684854718e-01
5.00000000000000e-01,1.96331167349178e+00,1.49521043789151e-02,5.18154589759502e+00,1.29501786888596e-01,1.46076318164413e+01,2.03464422107356e-01
6.25000000000000e-01,2.01952826473603e+00,1.55022271283789e-02,5.56363763456757e+00,1.44549309909703e-01,1.73390631369765e+01,2.56186775373148e-01
7.50000000000000e-01,1.98390676156309e+00,1.50035828441223e-02,5.17221874402410e+00,1.26668921261168e-01,1.88074476375643e+01,2.54317750484189e-01
8.75000000000000e-01,1.96810501907206e+00,1.44267030913156e-02,4.94605009830135e+00,1.15002928864545e-01,2.02046632898580e+01,2.56036602104121e-01
1.00000000000000e+00,1.94048138403474e+00,1.43375484685327e-02,4.75628960572680e+00,1.05343994377621e-01,2.17651563490621e+01,2.54161764326785e-01
1.12500000000000e+00,1.97775358251546e+00,1.46756368648759e-02,5.03895089161536e+00,1.16754960433708e-01,2.42926600700152e+01,3.06002481580141e-01
1.25000000000000e+00,1.95471555712777e+00,1.43241064057267e-02,4.80861792567484e+00,1.09008667321547e-01,2.52976366130910e+01,3.07563279247583e-01
1.50000000000000e+00,1.96884465341463e+00,1.41196725399468e-02,4.92072300818902e+00,1.09776107620169e-01,2.91202246573504e+01,3.49520819385859e-01
1.75000000000000e+00,1.96921079643638e+00,1.42021657959565e-02,4.96192919243069e+00,1.12886363487244e-01,3.28263618343195e+01,4.06295412866378e-01
2.00000000000000e+00,1.94451871120583e+00,1.37630222110700e-02,4.56346340305910e+00,9.47781057291066e-02,3.43119168319067e+01,3.71856612580608e-01
2.50000000000000e+00,1.94154027176518e+00,1.35789805511509e-02,4.33602321244058e+00,8.79336839962459e-02,3.88987506017430e+01,4.03110098318386e-01
3.00000000000000e+00,1.90757419515857e+00,1.31369285983516e-02,4.19847280926432e+00,8.06959243391461e-02,4.42365894979109e+01,4.27701237743882e-01
3.50000000000000e+00,1.92292294762169e+00,1.34134724102281e-02,4.21708471597365e+00,8.20070253071887e-02,4.93995011087955e+01,4.83942123587504e-01
4.00000000000000e+00,1.93596641090146e+00,1.35539169562406e-02,4.18911336328387e+00,7.98083177634545e-02,5.44015566426344e+01,5.14635391245555e-01
4.50000000000000e+00,1.91987112728961e+00,1.31546831837865e-02,3.94093813277799e+00,7.09745841927090e-02,5.74848950965146e+01,4.97971955444914e-01
5.00000000000000e+00,1.90095086449058e+00,1.28944962523883e-02,3.78295016204340e+00,6.55642349092216e-02,6.12000724807388e+01,4.96857441240273e-01
6.00000000000000e+00,1.92196612572772e+00,1.31640541778637e-02,3.78128574968333e+00,6.53017668706164e-02,7.03444377443751e+01,5.67381309586501e-01
7.00000000000000e+00,1.90863236985009e+00,1.23195656795658e-02,3.66960795817395e+00,5.65585421749331e-02,7.83931868934488e+01,5.51334580809637e-01
8.00000000000000e+00,1.93347298693620e+00,1.29074278992097e-02,3.50676092697348e+00,5.43520518115410e-02,8.43999141592178e+01,5.74624249721978e-01
9.00000000000000e+00,1.91931286317809e+00,1.27166761001301e-02,3.35722628656405e+00,4.89759455739711e-02,9.11292108661282e+01,5.55381603219736e-01
1.00000000000000e+01,1.92548670555198e+00,1.29015575620154e-02,3.31135578047800e+00,5.08168679599101e-02,9.80622913200676e+01,6.45256444864998e-01
1.10000000000000e+01,1.94487896218702e+00,1.30483709661712e-02,3.28813136539240e+00,5.03036937117569e-02,1.04971037255478e+02,6.81767736996704e-01
1.20000000000000e+01,1.93737746959970e+00,1.25947619766071e-02,3.22215308944126e+00,4.54136327148902e-02,1.11546105686683e+02,6.53531688784270e-01
1.30000000000000e+01,1.95119880810798e+00,1.30738504780168e-02,3.19624248186705e+00,4.83894971248755e-02,1.18514182167088e+02,7.58292700306150e-01
1.40000000000000e+01,1.96273249894011e+00,1.31602023386146e-02,3.13524978870895e+00,4.43566481836100e-02,1.24477257534527e+02,7.21784169531361e-01
1.50000000000000e+01,1.98362065980015e+00,1.32078983997634e-02,3.10598866638544e+00,4.24496093159343e-02,1.30472906261562e+02,7.09093295473480e-01
1.60000000000000e+01,1.98186167561456e+00,1.30390061848343e-02,3.07661961534346e+00,4.21343046242808e-02,1.37141008449124e+02,7.50520422911151e-01
1.70000000000000e+01,1.96836893833932e+00,1.32527257467128e-02,2.93630809077966e+00,4.16494776470762e-02,1.41404049537995e+02,7.86389640123090e-01
1.80000000000000e+01,1.98234197897981e+00,1.35019720203025e-02,2.91267486616434e+00,4.05451173200686e-02,1.46997588543066e+02,7.94047117859350e-01
1.90000000000000e+01,2.00186147014216e+00,1.33942790608592e-02,2.90696578857911e+00,3.99153433594064e-02,1.52982789515034e+02,8.12034162824972e-01
2.00000000000000e+01,1.99220337076606e+00,1.32423697784716e-02,2.86399729477067e+00,3.75442244519397e-02,1.58102683309733e+02,7.80384550372005e-01
